Type Name,Base Type,Value Name,Value,Comment,,,,,,,,,,,,,,
,,aviation_attitude,178,,,,,,,,,,,,,,,
,,video,184,,,,,,,,,,,,,,,
,,video_title,185,,,,,,,,,,,,,,,
,,video_description,186,,,,,,,,,,,,,,,
,,video_clip,187,,,,,,,,,,,,,,,
,,exd_screen_configuration,200,,,,,,,,,,,,,,,
,,exd_data_field_configuration,201,,,,,,,,,,,,,,,
,,exd_data_concept_configuration,202,,,,,,,,,,,,,,,
,,field_description,206,,,,,,,,,,,,,,,
,,developer_data_id,207,,,,,,,,,,,,,,,
,,mfg_range_min,0xFF00,0xFF00 - 0xFFFE reserved for manufacturer specific messages,,,,,,,,,,,,,,
,,mfg_range_max,0xFFFE,0xFF00 - 0xFFFE reserved for manufacturer specific messages,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
checksum,uint8,,,,,,,,,,,,,,,,,
,,clear,0,Allows clear of checksum for flash memory where can only write 1 to 0 without erasing sector.,,,,,,,,,,,,,,
,,ok,1,Set to mark checksum as valid if computes to invalid values 0 or 0xFF.  Checksum can also be set to ok to save encoding computation time.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
file_flags,uint8z,,,,,,,,,,,,,,,,,
,,read,0x02,,,,,,,,,,,,,,,
,,write,0x04,,,,,,,,,,,,,,,
,,erase,0x08,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
mesg_count,enum,,,,,,,,,,,,,,,,,
,,num_per_file,0,,,,,,,,,,,,,,,
,,max_per_file,1,,,,,,,,,,,,,,,
,,max_per_file_type,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
date_time,uint32,,,seconds since UTC 00:00 Dec 31 1989,,,,,,,,,,,,,,
,,min,0x10000000,if date_time is < 0x10000000 then it is system time (seconds from device power on),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
local_date_time,uint32,,,seconds since 00:00 Dec 31 1989 in local time zone,,,,,,,,,,,,,,
,,min,0x10000000,if date_time is < 0x10000000 then it is system time (seconds from device power on),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
message_index,uint16,,,,,,,,,,,,,,,,,
,,selected,0x8000,message is selected if set,,,,,,,,,,,,,,
,,reserved,0x7000,reserved (default 0),,,,,,,,,,,,,,
,,mask,0x0FFF,index,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
device_index,uint8,,,,,,,,,,,,,,,,,
,,creator,0,Creator of the file is always device index 0.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gender,enum,,,,,,,,,,,,,,,,,
,,female,0,,,,,,,,,,,,,,,
,,male,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
language,enum,,,,,,,,,,,,,,,,,
,,english,0,,,,,,,,,,,,,,,
,,french,1,,,,,,,,,,,,,,,
,,italian,2,,,,,,,,,,,,,,,
,,german,3,,,,,,,,,,,,,,,
,,spanish,4,,,,,,,,,,,,,,,
,,croatian,5,,,,,,,,,,,,,,,
,,czech,6,,,,,,,,,,,,,,,
,,danish,7,,,,,,,,,,,,,,,
,,dutch,8,,,,,,,,,,,,,,,
,,finnish,9,,,,,,,,,,,,,,,
,,greek,10,,,,,,,,,,,,,,,
,,hungarian,11,,,,,,,,,,,,,,,
,,norwegian,12,,,,,,,,,,,,,,,
,,polish,13,,,,,,,,,,,,,,,
,,portuguese,14,,,,,,,,,,,,,,,
,,slovakian,15,,,,,,,,,,,,,,,
,,slovenian,16,,,,,,,,,,,,,,,
,,swedish,17,,,,,,,,,,,,,,,
,,russian,18,,,,,,,,,,,,,,,
,,turkish,19,,,,,,,,,,,,,,,
,,latvian,20,,,,,,,,,,,,,,,
,,ukrainian,21,,,,,,,,,,,,,,,
,,arabic,22,,,,,,,,,,,,,,,
,,farsi,23,,,,,,,,,,,,,,,
,,bulgarian,24,,,,,,,,,,,,,,,
,,romanian,25,,,,,,,,,,,,,,,
,,chinese,26,,,,,,,,,,,,,,,
,,japanese,27,,,,,,,,,,,,,,,
,,korean,28,,,,,,,,,,,,,,,
,,taiwanese,29,,,,,,,,,,,,,,,
,,thai,30,,,,,,,,,,,,,,,
,,hebrew,31,,,,,,,,,,,,,,,
,,brazilian_portuguese,32,,,,,,,,,,,,,,,
,,indonesian,33,,,,,,,,,,,,,,,
,,custom,254,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
language_bits_0,uint8z,,,Bit field corresponding to language enum type (1 << language).,,,,,,,,,,,,,,
,,english,0x01,,,,,,,,,,,,,,,
,,french,0x02,,,,,,,,,,,,,,,
,,italian,0x04,,,,,,,,,,,,,,,
,,german,0x08,,,,,,,,,,,,,,,
,,spanish,0x10,,,,,,,,,,,,,,,
,,croatian,0x20,,,,,,,,,,,,,,,
,,czech,0x40,,,,,,,,,,,,,,,
,,danish,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
language_bits_1,uint8z,,,,,,,,,,,,,,,,,
,,dutch,0x01,,,,,,,,,,,,,,,
,,finnish,0x02,,,,,,,,,,,,,,,
,,greek,0x04,,,,,,,,,,,,,,,
,,hungarian,0x08,,,,,,,,,,,,,,,
,,norwegian,0x10,,,,,,,,,,,,,,,
,,polish,0x20,,,,,,,,,,,,,,,
,,portuguese,0x40,,,,,,,,,,,,,,,
,,slovakian,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
language_bits_2,uint8z,,,,,,,,,,,,,,,,,
,,slovenian,0x01,,,,,,,,,,,,,,,
,,swedish,0x02,,,,,,,,,,,,,,,
,,russian,0x04,,,,,,,,,,,,,,,
,,turkish,0x08,,,,,,,,,,,,,,,
,,latvian,0x10,,,,,,,,,,,,,,,
,,ukrainian,0x20,,,,,,,,,,,,,,,
,,arabic,0x40,,,,,,,,,,,,,,,
,,farsi,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
language_bits_3,uint8z,,,,,,,,,,,,,,,,,
,,bulgarian,0x01,,,,,,,,,,,,,,,
,,romanian,0x02,,,,,,,,,,,,,,,
,,chinese,0x04,,,,,,,,,,,,,,,
,,japanese,0x08,,,,,,,,,,,,,,,
,,korean,0x10,,,,,,,,,,,,,,,
,,taiwanese,0x20,,,,,,,,,,,,,,,
,,thai,0x40,,,,,,,,,,,,,,,
,,hebrew,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
language_bits_4,uint8z,,,,,,,,,,,,,,,,,
,,brazilian_portuguese,0x01,,,,,,,,,,,,,,,
,,indonesian,0x02,,,,,,,,,,,,,,,
time_zone,enum,,,,,,,,,,,,,,,,,
,,almaty,0,,,,,,,,,,,,,,,
,,bangkok,1,,,,,,,,,,,,,,,
,,bombay,2,,,,,,,,,,,,,,,
,,brasilia,3,,,,,,,,,,,,,,,
,,cairo,4,,,,,,,,,,,,,,,
,,cape_verde_is,5,,,,,,,,,,,,,,,
,,darwin,6,,,,,,,,,,,,,,,
,,eniwetok,7,,,,,,,,,,,,,,,
,,fiji,8,,,,,,,,,,,,,,,
,,hong_kong,9,,,,,,,,,,,,,,,
,,islamabad,10,,,,,,,,,,,,,,,
,,kabul,11,,,,,,,,,,,,,,,
,,magadan,12,,,,,,,,,,,,,,,
,,mid_atlantic,13,,,,,,,,,,,,,,,
,,moscow,14,,,,,,,,,,,,,,,
,,muscat,15,,,,,,,,,,,,,,,
,,newfoundland,16,,,,,,,,,,,,,,,
,,samoa,17,,,,,,,,,,,,,,,
,,sydney,18,,,,,,,,,,,,,,,
,,tehran,19,,,,,,,,,,,,,,,
,,tokyo,20,,,,,,,,,,,,,,,
,,us_alaska,21,,,,,,,,,,,,,,,
,,us_atlantic,22,,,,,,,,,,,,,,,
,,us_central,23,,,,,,,,,,,,,,,
,,us_eastern,24,,,,,,,,,,,,,,,
,,us_hawaii,25,,,,,,,,,,,,,,,
,,us_mountain,26,,,,,,,,,,,,,,,
,,us_pacific,27,,,,,,,,,,,,,,,
,,other,28,,,,,,,,,,,,,,,
,,auckland,29,,,,,,,,,,,,,,,
,,kathmandu,30,,,,,,,,,,,,,,,
,,europe_western_wet,31,,,,,,,,,,,,,,,
,,europe_central_cet,32,,,,,,,,,,,,,,,
,,europe_eastern_eet,33,,,,,,,,,,,,,,,
,,jakarta,34,,,,,,,,,,,,,,,
,,perth,35,,,,,,,,,,,,,,,
,,adelaide,36,,,,,,,,,,,,,,,
,,brisbane,37,,,,,,,,,,,,,,,
,,tasmania,38,,,,,,,,,,,,,,,
,,iceland,39,,,,,,,,,,,,,,,
,,amsterdam,40,,,,,,,,,,,,,,,
,,athens,41,,,,,,,,,,,,,,,
,,barcelona,42,,,,,,,,,,,,,,,
,,berlin,43,,,,,,,,,,,,,,,
,,brussels,44,,,,,,,,,,,,,,,
,,budapest,45,,,,,,,,,,,,,,,
,,copenhagen,46,,,,,,,,,,,,,,,
,,dublin,47,,,,,,,,,,,,,,,
,,helsinki,48,,,,,,,,,,,,,,,
,,lisbon,49,,,,,,,,,,,,,,,
,,london,50,,,,,,,,,,,,,,,
,,madrid,51,,,,,,,,,,,,,,,
,,munich,52,,,,,,,,,,,,,,,
,,oslo,53,,,,,,,,,,,,,,,
,,paris,54,,,,,,,,,,,,,,,
,,prague,55,,,,,,,,,,,,,,,
,,reykjavik,56,,,,,,,,,,,,,,,
,,rome,57,,,,,,,,,,,,,,,
,,stockholm,58,,,,,,,,,,,,,,,
,,vienna,59,,,,,,,,,,,,,,,
,,warsaw,60,,,,,,,,,,,,,,,
,,zurich,61,,,,,,,,,,,,,,,
,,quebec,62,,,,,,,,,,,,,,,
,,ontario,63,,,,,,,,,,,,,,,
,,manitoba,64,,,,,,,,,,,,,,,
,,saskatchewan,65,,,,,,,,,,,,,,,
,,alberta,66,,,,,,,,,,,,,,,
,,british_columbia,67,,,,,,,,,,,,,,,
,,boise,68,,,,,,,,,,,,,,,
,,boston,69,,,,,,,,,,,,,,,
,,chicago,70,,,,,,,,,,,,,,,
,,dallas,71,,,,,,,,,,,,,,,
,,denver,72,,,,,,,,,,,,,,,
,,kansas_city,73,,,,,,,,,,,,,,,
,,las_vegas,74,,,,,,,,,,,,,,,
,,los_angeles,75,,,,,,,,,,,,,,,
,,miami,76,,,,,,,,,,,,,,,
,,minneapolis,77,,,,,,,,,,,,,,,
,,new_york,78,,,,,,,,,,,,,,,
,,new_orleans,79,,,,,,,,,,,,,,,
,,phoenix,80,,,,,,,,,,,,,,,
,,santa_fe,81,,,,,,,,,,,,,,,
,,seattle,82,,,,,,,,,,,,,,,
,,washington_dc,83,,,,,,,,,,,,,,,
,,us_arizona,84,,,,,,,,,,,,,,,
,,chita,85,,,,,,,,,,,,,,,
,,ekaterinburg,86,,,,,,,,,,,,,,,
,,irkutsk,87,,,,,,,,,,,,,,,
,,kaliningrad,88,,,,,,,,,,,,,,,
,,krasnoyarsk,89,,,,,,,,,,,,,,,
,,novosibirsk,90,,,,,,,,,,,,,,,
,,petropavlovsk_kamchatskiy,91,,,,,,,,,,,,,,,
,,samara,92,,,,,,,,,,,,,,,
,,vladivostok,93,,,,,,,,,,,,,,,
,,mexico_central,94,,,,,,,,,,,,,,,
,,mexico_mountain,95,,,,,,,,,,,,,,,
,,mexico_pacific,96,,,,,,,,,,,,,,,
,,cape_town,97,,,,,,,,,,,,,,,
,,winkhoek,98,,,,,,,,,,,,,,,
,,lagos,99,,,,,,,,,,,,,,,
,,riyahd,100,,,,,,,,,,,,,,,
,,venezuela,101,,,,,,,,,,,,,,,
,,australia_lh,102,,,,,,,,,,,,,,,
,,santiago,103,,,,,,,,,,,,,,,
,,manual,253,,,,,,,,,,,,,,,
,,automatic,254,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
display_measure,enum,,,,,,,,,,,,,,,,,
,,metric,0,,,,,,,,,,,,,,,
,,statute,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
display_heart,enum,,,,,,,,,,,,,,,,,
,,bpm,0,,,,,,,,,,,,,,,
,,max,1,,,,,,,,,,,,,,,
,,reserve,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
display_power,enum,,,,,,,,,,,,,,,,,
,,watts,0,,,,,,,,,,,,,,,
,,percent_ftp,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
display_position,enum,,,,,,,,,,,,,,,,,
,,degree,0,dd.dddddd                       ,,,,,,,,,,,,,,
,,degree_minute,1,dddmm.mmm                       ,,,,,,,,,,,,,,
,,degree_minute_second,2,dddmmss                         ,,,,,,,,,,,,,,
,,austrian_grid,3,Austrian Grid (BMN)             ,,,,,,,,,,,,,,
,,british_grid,4,British National Grid           ,,,,,,,,,,,,,,
,,dutch_grid,5,Dutch grid system               ,,,,,,,,,,,,,,
,,hungarian_grid,6,Hungarian grid system           ,,,,,,,,,,,,,,
,,finnish_grid,7,Finnish grid system Zone3 KKJ27 ,,,,,,,,,,,,,,
,,german_grid,8,Gausss Krueger (German)         ,,,,,,,,,,,,,,
,,icelandic_grid,9,Icelandic Grid                  ,,,,,,,,,,,,,,
,,indonesian_equatorial,10,Indonesian Equatorial LCO       ,,,,,,,,,,,,,,
,,indonesian_irian,11,Indonesian Irian LCO            ,,,,,,,,,,,,,,
,,indonesian_southern,12,Indonesian Southern LCO         ,,,,,,,,,,,,,,
,,india_zone_0,13,India zone 0                    ,,,,,,,,,,,,,,
,,india_zone_IA,14,India zone IA                   ,,,,,,,,,,,,,,
,,india_zone_IB,15,India zone IB                   ,,,,,,,,,,,,,,
,,india_zone_IIA,16,India zone IIA                  ,,,,,,,,,,,,,,
,,india_zone_IIB,17,India zone IIB                  ,,,,,,,,,,,,,,
,,india_zone_IIIA,18,India zone IIIA                 ,,,,,,,,,,,,,,
,,india_zone_IIIB,19,India zone IIIB                 ,,,,,,,,,,,,,,
,,india_zone_IVA,20,India zone IVA                  ,,,,,,,,,,,,,,
,,india_zone_IVB,21,India zone IVB                  ,,,,,,,,,,,,,,
,,irish_transverse,22,Irish Transverse Mercator       ,,,,,,,,,,,,,,
,,irish_grid,23,Irish Grid                      ,,,,,,,,,,,,,,
,,loran,24,Loran TD                        ,,,,,,,,,,,,,,
,,maidenhead_grid,25,Maidenhead grid system          ,,,,,,,,,,,,,,
,,mgrs_grid,26,MGRS grid system                ,,,,,,,,,,,,,,
,,new_zealand_grid,27,New Zealand grid system         ,,,,,,,,,,,,,,
,,new_zealand_transverse,28,New Zealand Transverse Mercator ,,,,,,,,,,,,,,
,,qatar_grid,29,Qatar National Grid             ,,,,,,,,,,,,,,
,,modified_swedish_grid,30,Modified RT-90 (Sweden)         ,,,,,,,,,,,,,,
,,swedish_grid,31,RT-90 (Sweden)                  ,,,,,,,,,,,,,,
,,south_african_grid,32,South African Grid              ,,,,,,,,,,,,,,
,,swiss_grid,33,Swiss CH-1903 grid              ,,,,,,,,,,,,,,
,,taiwan_grid,34,Taiwan Grid                     ,,,,,,,,,,,,,,
,,united_states_grid,35,United States National Grid     ,,,,,,,,,,,,,,
,,utm_ups_grid,36,UTM/UPS grid system             ,,,,,,,,,,,,,,
,,west_malayan,37,West Malayan RSO                ,,,,,,,,,,,,,,
,,borneo_rso,38,Borneo RSO,,,,,,,,,,,,,,
,,estonian_grid,39,Estonian grid system,,,,,,,,,,,,,,
,,latvian_grid,40,Latvian Transverse Mercator,,,,,,,,,,,,,,
,,swedish_ref_99_grid,41,Reference Grid 99 TM (Swedish),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport,enum,,,,,,,,,,,,,,,,,
,,generic,0,,,,,,,,,,,,,,,
,,running,1,,,,,,,,,,,,,,,
,,cycling,2,,,,,,,,,,,,,,,
,,transition,3,Mulitsport transition,,,,,,,,,,,,,,
,,fitness_equipment,4,,,,,,,,,,,,,,,
,,swimming,5,,,,,,,,,,,,,,,
,,basketball,6,,,,,,,,,,,,,,,
,,soccer,7,,,,,,,,,,,,,,,
,,tennis,8,,,,,,,,,,,,,,,
,,american_football,9,,,,,,,,,,,,,,,
,,training,10,,,,,,,,,,,,,,,
,,walking,11,,,,,,,,,,,,,,,
,,cross_country_skiing,12,,,,,,,,,,,,,,,
,,alpine_skiing,13,,,,,,,,,,,,,,,
,,snowboarding,14,,,,,,,,,,,,,,,
,,rowing,15,,,,,,,,,,,,,,,
,,mountaineering,16,,,,,,,,,,,,,,,
,,hiking,17,,,,,,,,,,,,,,,
,,multisport,18,,,,,,,,,,,,,,,
,,paddling,19,,,,,,,,,,,,,,,
,,flying,20,,,,,,,,,,,,,,,
,,e_biking,21,,,,,,,,,,,,,,,
,,motorcycling,22,,,,,,,,,,,,,,,
,,boating,23,,,,,,,,,,,,,,,
,,driving,24,,,,,,,,,,,,,,,
,,golf,25,,,,,,,,,,,,,,,
,,hang_gliding,26,,,,,,,,,,,,,,,
,,horseback_riding,27,,,,,,,,,,,,,,,
,,hunting,28,,,,,,,,,,,,,,,
,,fishing,29,,,,,,,,,,,,,,,
,,inline_skating,30,,,,,,,,,,,,,,,
,,rock_climbing,31,,,,,,,,,,,,,,,
,,sailing,32,,,,,,,,,,,,,,,
,,ice_skating,33,,,,,,,,,,,,,,,
,,sky_diving,34,,,,,,,,,,,,,,,
,,snowshoeing,35,,,,,,,,,,,,,,,
,,snowmobiling,36,,,,,,,,,,,,,,,
,,stand_up_paddleboarding,37,,,,,,,,,,,,,,,
,,surfing,38,,,,,,,,,,,,,,,
,,wakeboarding,39,,,,,,,,,,,,,,,
,,water_skiing,40,,,,,,,,,,,,,,,
,,kayaking,41,,,,,,,,,,,,,,,
,,rafting,42,,,,,,,,,,,,,,,
,,windsurfing,43,,,,,,,,,,,,,,,
,,kitesurfing,44,,,,,,,,,,,,,,,
,,tactical,45,,,,,,,,,,,,,,,
,,jumpmaster,46,,,,,,,,,,,,,,,
,,all,254,All is for goals only to include all sports.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport_bits_0,uint8z,,,Bit field corresponding to sport enum type (1 << sport).,,,,,,,,,,,,,,
,,generic,0x01,,,,,,,,,,,,,,,
,,running,0x02,,,,,,,,,,,,,,,
,,cycling,0x04,,,,,,,,,,,,,,,
,,transition,0x08,Mulitsport transition,,,,,,,,,,,,,,
,,fitness_equipment,0x10,,,,,,,,,,,,,,,
,,swimming,0x20,,,,,,,,,,,,,,,
,,basketball,0x40,,,,,,,,,,,,,,,
,,soccer,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport_bits_1,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-8)).,,,,,,,,,,,,,,
,,tennis,0x01,,,,,,,,,,,,,,,
,,american_football,0x02,,,,,,,,,,,,,,,
,,training,0x04,,,,,,,,,,,,,,,
,,walking,0x08,,,,,,,,,,,,,,,
,,cross_country_skiing,0x10,,,,,,,,,,,,,,,
,,alpine_skiing,0x20,,,,,,,,,,,,,,,
,,snowboarding,0x40,,,,,,,,,,,,,,,
,,rowing,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport_bits_2,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-16)).,,,,,,,,,,,,,,
,,mountaineering,0x01,,,,,,,,,,,,,,,
,,hiking,0x02,,,,,,,,,,,,,,,
,,multisport,0x04,,,,,,,,,,,,,,,
,,paddling,0x08,,,,,,,,,,,,,,,
,,flying,0x10,,,,,,,,,,,,,,,
,,e_biking,0x20,,,,,,,,,,,,,,,
,,motorcycling,0x40,,,,,,,,,,,,,,,
,,boating,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport_bits_3,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-24)).,,,,,,,,,,,,,,
,,driving,0x01,,,,,,,,,,,,,,,
,,golf,0x02,,,,,,,,,,,,,,,
,,hang_gliding,0x04,,,,,,,,,,,,,,,
,,horseback_riding,0x08,,,,,,,,,,,,,,,
,,hunting,0x10,,,,,,,,,,,,,,,
,,fishing,0x20,,,,,,,,,,,,,,,
,,inline_skating,0x40,,,,,,,,,,,,,,,
,,rock_climbing,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport_bits_4,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-32)).,,,,,,,,,,,,,,
,,sailing,0x01,,,,,,,,,,,,,,,
,,ice_skating,0x02,,,,,,,,,,,,,,,
,,sky_diving,0x04,,,,,,,,,,,,,,,
,,snowshoeing,0x08,,,,,,,,,,,,,,,
,,snowmobiling,0x10,,,,,,,,,,,,,,,
,,stand_up_paddleboarding,0x20,,,,,,,,,,,,,,,
,,surfing,0x40,,,,,,,,,,,,,,,
,,wakeboarding,0x80,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sport_bits_5,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-40)).,,,,,,,,,,,,,,
,,water_skiing,0x01,,,,,,,,,,,,,,,
,,kayaking,0x02,,,,,,,,,,,,,,,
,,rafting,0x04,,,,,,,,,,,,,,,
,,windsurfing,0x08,,,,,,,,,,,,,,,
,,kitesurfing,0x10,,,,,,,,,,,,,,,
,,tactical,0x20,,,,,,,,,,,,,,,
,,jumpmaster,0x40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
sub_sport,enum,,,,,,,,,,,,,,,,,
,,generic,0,,,,,,,,,,,,,,,
,,treadmill,1,Run/Fitness Equipment,,,,,,,,,,,,,,
,,street,2,Run,,,,,,,,,,,,,,
,,trail,3,Run,,,,,,,,,,,,,,
,,track,4,Run,,,,,,,,,,,,,,
,,spin,5,Cycling,,,,,,,,,,,,,,
,,indoor_cycling,6,Cycling/Fitness Equipment,,,,,,,,,,,,,,
,,road,7,Cycling,,,,,,,,,,,,,,
,,mountain,8,Cycling,,,,,,,,,,,,,,
,,downhill,9,Cycling,,,,,,,,,,,,,,
,,recumbent,10,Cycling,,,,,,,,,,,,,,
,,cyclocross,11,Cycling,,,,,,,,,,,,,,
,,hand_cycling,12,Cycling,,,,,,,,,,,,,,
,,track_cycling,13,Cycling,,,,,,,,,,,,,,
,,indoor_rowing,14,Fitness Equipment,,,,,,,,,,,,,,
,,elliptical,15,Fitness Equipment,,,,,,,,,,,,,,
,,stair_climbing,16,Fitness Equipment,,,,,,,,,,,,,,
,,lap_swimming,17,Swimming,,,,,,,,,,,,,,
,,open_water,18,Swimming,,,,,,,,,,,,,,
,,flexibility_training,19,Training,,,,,,,,,,,,,,
,,strength_training,20,Training,,,,,,,,,,,,,,
,,warm_up,21,Tennis,,,,,,,,,,,,,,
,,match,22,Tennis,,,,,,,,,,,,,,
,,exercise,23,Tennis,,,,,,,,,,,,,,
,,challenge,24,Tennis,,,,,,,,,,,,,,
,,indoor_skiing,25,Fitness Equipment,,,,,,,,,,,,,,
